"Tidstämpel","Total poäng","Hur gammal är du?","Hur gammal är du? [Poäng]","Hur gammal är du? [Feedback]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder?","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Poäng]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Feedback]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete.","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Poäng]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Feedback]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning.","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Poäng]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Feedback]","1. Är bilden AI-genererad?","1. Är bilden AI-genererad? [Poäng]","1. Är bilden AI-genererad? [Feedback]","1. Varför tror du att den är AI-genererad/riktig?","1. Varför tror du att den är AI-genererad/riktig? [Poäng]","1. Varför tror du att den är AI-genererad/riktig? [Feedback]","2. Är bilden AI-genererad?","2. Är bilden AI-genererad? [Poäng]","2. Är bilden AI-genererad? [Feedback]","2. Varför tror du att den är AI-genererad/riktig?","2. Varför tror du att den är AI-genererad/riktig? [Poäng]","2. Varför tror du att den är AI-genererad/riktig? [Feedback]","3. Är bilden AI-genererad?","3. Är bilden AI-genererad? [Poäng]","3. Är bilden AI-genererad? [Feedback]","3. Varför tror du att den är AI-genererad/riktig?","3. Varför tror du att den är AI-genererad/riktig? [Poäng]","3. Varför tror du att den är AI-genererad/riktig? [Feedback]","4. Är bilden AI-genererad?","4. Är bilden AI-genererad? [Poäng]","4. Är bilden AI-genererad? [Feedback]","4. Varför tror du att den är AI-genererad/riktig?","4. Varför tror du att den är AI-genererad/riktig? [Poäng]","4. Varför tror du att den är AI-genererad/riktig? [Feedback]","5. Är bilden AI-genererad?","5. Är bilden AI-genererad? [Poäng]","5. Är bilden AI-genererad? [Feedback]","5. Varför tror du att den är AI-genererad/riktig?","5. Varför tror du att den är AI-genererad/riktig? [Poäng]","5. Varför tror du att den är AI-genererad/riktig? [Feedback]","6. Är bilden AI-genererad?","6. Är bilden AI-genererad? [Poäng]","6. Är bilden AI-genererad? [Feedback]","6. Varför tror du att den är AI-genererad/riktig?","6. Varför tror du att den är AI-genererad/riktig? [Poäng]","6. Varför tror du att den är AI-genererad/riktig? [Feedback]","7. Är bilden AI-genererad?","7. Är bilden AI-genererad? [Poäng]","7. Är bilden AI-genererad? [Feedback]","7. Varför tror du att den är AI-genererad/riktig?","7. Varför tror du att den är AI-genererad/riktig? [Poäng]","7. Varför tror du att den är AI-genererad/riktig? [Feedback]","8. Är bilden AI-genererad?","8. Är bilden AI-genererad? [Poäng]","8. Är bilden AI-genererad? [Feedback]","8. Varför tror du att den är AI-genererad/riktig?","8. Varför tror du att den är AI-genererad/riktig? [Poäng]","8. Varför tror du att den är AI-genererad/riktig? [Feedback]","9. Är bilden AI-genererad?","9. Är bilden AI-genererad? [Poäng]","9. Är bilden AI-genererad? [Feedback]","9. Varför tror du att den är AI-genererad/riktig?","9. Varför tror du att den är AI-genererad/riktig? [Poäng]","9. Varför tror du att den är AI-genererad/riktig? [Feedback]","10. Är bilden AI-genererad?","10. Är bilden AI-genererad? [Poäng]","10. Är bilden AI-genererad? [Feedback]","10. Varför tror du att den är AI-genererad/riktig?","10. Varför tror du att den är AI-genererad/riktig? [Poäng]","10. Varför tror du att den är AI-genererad/riktig? [Feedback]","11. Är bilden AI-genererad?","11. Är bilden AI-genererad? [Poäng]","11. Är bilden AI-genererad? [Feedback]","11. Varför tror du att den är AI-genererad/riktig?","11. Varför tror du att den är AI-genererad/riktig? [Poäng]","11. Varför tror du att den är AI-genererad/riktig? [Feedback]","12. Är bilden AI-genererad?","12. Är bilden AI-genererad? [Poäng]","12. Är bilden AI-genererad? [Feedback]","12. Varför tror du att den är AI-genererad/riktig?","12. Varför tror du att den är AI-genererad/riktig? [Poäng]","12. Varför tror du att den är AI-genererad/riktig? [Feedback]","13. Är bilden AI-genererad?","13. Är bilden AI-genererad? [Poäng]","13. Är bilden AI-genererad? [Feedback]","13. Varför tror du att den är AI-genererad/riktig?","13. Varför tror du att den är AI-genererad/riktig? [Poäng]","13. Varför tror du att den är AI-genererad/riktig? [Feedback]","14. Är bilden AI-genererad?","14. Är bilden AI-genererad? [Poäng]","14. Är bilden AI-genererad? [Feedback]","14. Varför tror du att den är AI-genererad/riktig?","14. Varför tror du att den är AI-genererad/riktig? [Poäng]","14. Varför tror du att den är AI-genererad/riktig? [Feedback]","15. Är bilden AI-genererad?","15. Är bilden AI-genererad? [Poäng]","15. Är bilden AI-genererad? [Feedback]","15. Varför tror du att den är AI-genererad/riktig?","15. Varför tror du att den är AI-genererad/riktig? [Poäng]","15. Varför tror du att den är AI-genererad/riktig? [Feedback]","Kommentar/Fråga (frivillig)","Kommentar/Fråga (frivillig) [Poäng]","Kommentar/Fråga (frivillig) [Feedback]"
"2024/03/17 3:10:12 em EET","11.00 / 15","19","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Jag märker inga tydliga misstag, den ser genuin ut.","-- / 0","","Ja","1.00 / 1","","Deras hår och hud ser på tok för lena ut för att vara riktiga. Annars har nog någon photoshoppat den lite.","-- / 0","","Nej","1.00 / 1","","Ser trovärdig ut, inga större fel","-- / 0","","Nej","1.00 / 1","","Inga tydliga fel","-- / 0","","Ja","1.00 / 1","","Katten ser för len ut, perspektivet på bakgrunden ser lite konstig ut","-- / 0","","Nej","1.00 / 1","","Ser inga brister. Det finns inga stjälkar från blommorna","-- / 0","","Ja","0.00 / 1","","Ser ut som att kroppen flyger, den har bara fyra ben. Löven är väldigt otydliga och strukturerade. AI eller hårt fotoshoppad för att få blur runt hela.","-- / 0","","Nej","0.00 / 1","","Ser trovärdig ut, inga tydliga indikationer på att det är AI","-- / 0","","Ja","0.00 / 1","","Ser ut som en knasig emu, ojämn vignette runt? ","-- / 0","","Ja","0.00 / 1","","Bakhjulet på cykeln sitter lite konstigt. Hans arm ser felplacerad ut. Den känns off","-- / 0","","Ja","1.00 / 1","","Mossan är på tok för slät.","-- / 0","","Nej","1.00 / 1","","Inga tydliga indikationer på att den är AI","-- / 0","","Nej","1.00 / 1","","Tydliga skuggor från trädet, håret och ansiktet ser genuint ut","-- / 0","","Ja","1.00 / 1","","Bladen på blomman känns konstigt.","-- / 0","","Nej","1.00 / 1","","Formen ser knasig ut för att den är mitt i luften gissar jag. Marken längre fram är tydlig medans det är blur på bakgrunden. Den här var svår","-- / 0","","Kul test!","-- / 0",""
"2024/03/17 3:13:20 em EET","13.00 / 15","20","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Porerna i kinderna och sminket gör det väldigt verklighetstroget. Om det är AI skulle jag säga att det kanske kan synas i hur håret är väldigt konstigt kammat, men hon kanske bara har en dålig frisyr.","-- / 0","","Ja","1.00 / 1","","Väldigt blankt och dött, inget ser naturligt ut.","-- / 0","","Nej","1.00 / 1","","Detaljerna i håret.","-- / 0","","Nej","1.00 / 1","","Väldigt många små detaljer.","-- / 0","","Ja","1.00 / 1","","Håret är helt utsmetat.","-- / 0","","Nej","1.00 / 1","","Jag tror den är verkligen MEN om den är AI kan man se det på hur det inte är bågra själkar i vaserna.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ingen logisk formgivning av naturen.","-- / 0","","Ja","0.00 / 1","","Om det här inte är AI genererat då är det bara en dålig fotograf, alldeles för mycket blur.","-- / 0","","Nej","1.00 / 1","","Ser mänskligt ut.","-- / 0","","Ja","1.00 / 1","","Ser hemsk ut.","-- / 0","","Nej","1.00 / 1","","Ser naturligt ut.","-- / 0","","Ja","0.00 / 1","","Ojämn näsa, handen smälter in i växterna.","-- / 0","","Ja","1.00 / 1","","Något bara känns fel","-- / 0","","Nej","1.00 / 1","","Ser lite konstigt ut men kan vara verklig.","-- / 0","","Knasigt","-- / 0",""
"2024/03/17 3:13:44 em EET","14.00 / 15","19","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Den ser realistisk ut, proportionerna är normala och bakgrunden ser suddig ut på ett normalt sett, inte ett ""mushed together ai"" sett","-- / 0","","Ja","1.00 / 1","","Den ser målad ut, proportionerna är realistiska men allting är lite väl suddigt. Mannens ringfinger böjer sig väldigt konstigt och är mycket smalare än de andra fingrarna.","-- / 0","","Nej","1.00 / 1","","Osäker men AI-genererade bilder brukar ha en välidgt annourlunda stil för päls som jag inte kan se i den här bilden. ","-- / 0","","Nej","1.00 / 1","","Jag kan inte se något som sticker ut och får mig att tro att bilden inte är äkta","-- / 0","","Ja","1.00 / 1","","Sättet pälsen är gjord är väldigt typisk AI. Lightningen är lite over the top och känns orealistisk. Självaste ansiktet av katten ser extremt äkta ut men resten av kroppen har de tydliga och vanliga ""brush strokes"" som AI bilder har.","-- / 0","","Nej","1.00 / 1","","Jag kan inte hitta några fel som får mig att tro att den är AI-genererad","-- / 0","","Nej","1.00 / 1","","Känns för skarp för en AI bild då dom brukar vara blurry även där det inte ska vara suddigt.","-- / 0","","Ja","1.00 / 1","","Kan inte riktigt ge någon förklaring. Den känns bara orealistisk. Tror det är mestadels ljuset men den kan ju också vara en äkta bild som är edited. Allting känns väldigt mjukt/mjuk avrundning, vilket känns som typisk AI","-- / 0","","Nej","1.00 / 1","","Den känns för skarp för att vara AI","-- / 0","","Nej","1.00 / 1","","Några delar i bilden känns AI-genererade men inte tillräckligt många för att få mig att tro att hela bilden är det. Ansiktet ser alldeles för realistiskt ut, håret också.","-- / 0","","Ja","1.00 / 1","","Osäker. Bakgrunden känns målad istället för suddig. Mossan som grodan sitter på känns orealistisk men det kan bara bero på att det inte ser ut som vanlig svensk mossa. Grodans ""händer"" blir suddiga vilket känns väldigt fel men grodan ser ändå extremt realistisk ut.","-- / 0","","Ja","0.00 / 1",""," Berget och husen ser extremt fake ut och jag tycker inte att de passar in. Marken närmast kameran ser väldigt realistisk ut så jag skulle kunna tro att bilden är äkta ändå.","-- / 0","","Nej","1.00 / 1","","Håret och ansiktet ser för realistiskt ut. Bilden ser inte ""målad"" ut som AI-generade bilder oftast gör. Skuggorna på tröjan är även inte suddiga på ett sånt sätt som dom skulle vara i en AI bild","-- / 0","","Ja","1.00 / 1","","Generellt har bilden typisk AI shading med att det är lite suddigt. Naglarna på handen sitter väldigt snett och sättet handen håller i blomman är också rätt så konstigt.","-- / 0","","Nej","1.00 / 1","","Bilden ser lite oskarp ut men inte på ett AI sätt. Pälsen ser realistisk ut och är inte målad som den brukar vara i AI bilder","-- / 0","","Jag är en estet elev och konstnär så jag har troligtvis mycket lättare att se skillnaden än allmänheten som inte jobbar med konst.","-- / 0",""
"2024/03/17 3:28:44 em EET","10.00 / 15","53","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Kan möjligen hanterats med filter men ser riktig ut.","-- / 0","","Nej","0.00 / 1","","Ser riktig ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Tycker skärpan ser märklig ut","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Blomman ser inte helt naturlig ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Otroligt svårt och man kan ha allt från alla fel till alla rätt. Vore kul att veta. Dessa var dock ofarliga,.en i andra sammanhang kan bra AI-komponerade bilder vara ""farliga"".","-- / 0",""
"2024/03/17 3:42:22 em EET","8.00 / 15","58","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ljuset och oskarp bakgrund ","-- / 0","","Ja","1.00 / 1","","Trodde hennes suddiga kaffekopp var ett tecken ","-- / 0","","Ja","0.00 / 1","","Ser overklig ut....","-- / 0","","Nej","1.00 / 1","","Har själv sån utsikt","-- / 0","","Nej","0.00 / 1","","Chansar vilt!","-- / 0","","Nej","1.00 / 1","","?","-- / 0","","Ja","0.00 / 1","","Ena benet ser skumt ut","-- / 0","","Ja","1.00 / 1","","Skuggorna i bäcken","-- / 0","","Nej","1.00 / 1","","Kunde tagit en likadan med min kamera ","-- / 0","","Nej","1.00 / 1","","?","-- / 0","","Ja","1.00 / 1","","Oskarp nedertill","-- / 0","","Ja","0.00 / 1","","Konstig linje nere på bildens högra sida","-- / 0","","Ja","0.00 / 1","","Blandad skarp o oskarp ","-- / 0","","Nej","0.00 / 1","","?","-- / 0","","Ja","0.00 / 1","","En ren tass, resten smutsiga ","-- / 0","","","-- / 0",""
"2024/03/17 3:43:26 em EET","13.00 / 15","20","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Texturerna är väldigt verklighetstrogna.","-- / 0","","Ja","1.00 / 1","","Det är lite slätare, inte lika mycket detailed i till exempel ansiktena.","-- / 0","","Nej","1.00 / 1","","Väldigt skarp bild så tror den är riktig.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ser ut som en ritning nästan så skulle säga AI-genererad.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Handen till höger ser lite slät ut, som om någon har blurrat den.","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 3:46:30 em EET","13.00 / 15","23","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Inget som står ut","-- / 0","","Ja","1.00 / 1","","Ser AI genererad ut pga texturen på människor och material, ser väldigt slät ut","-- / 0","","Nej","1.00 / 1","","Känns riktigt bara","-- / 0","","Nej","1.00 / 1","","Ser ut som ett riktigt landskap","-- / 0","","Ja","1.00 / 1","","Texturen igen","-- / 0","","Ja","0.00 / 1","","För utopiskt typ? ","-- / 0","","Nej","1.00 / 1","","Känns bara verklig","-- / 0","","Ja","1.00 / 1","","För perfekt","-- / 0","","Nej","1.00 / 1","","Djuret ser riktigt ut","-- / 0","","Ja","0.00 / 1","","Cykeln ser udda ut ","-- / 0","","Ja","1.00 / 1","","Ena foten","-- / 0","","Nej","1.00 / 1","","Detaljerna i snön","-- / 0","","Nej","1.00 / 1","","Hon ser verklig ut","-- / 0","","Ja","1.00 / 1","","Saknar handen ett finger? ","-- / 0","","Nej","1.00 / 1","","Högkvalitativt foto","-- / 0","","","-- / 0",""
"2024/03/17 3:56:27 em EET","13.00 / 15","24","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Reflektionen i vattnet ser inte helt rätt ut","-- / 0","","Nej","1.00 / 1","","inget speciellt sticker ut. inget speciellt som skulle tyda att något är ""tillagt""","-- / 0","","Ja","1.00 / 1","","pälsen ser lite uda","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","kan inte se någon reflektion i ögat","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","känns lite för glansig för att vara en riktig bild","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","känns lite för perfekt ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 4:02:48 em EET","9.00 / 15","82","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Färgvalet","-- / 0","","Ja","1.00 / 1","","Stereotyp","-- / 0","","Ja","0.00 / 1","","Vattnet","-- / 0","","Ja","0.00 / 1","","Isen","-- / 0","","Nej","0.00 / 1","","Pälsen","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Fokus","-- / 0","","Ja","1.00 / 1","","Livlös bild","-- / 0","","Nej","1.00 / 1","","Detaljrik","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Mossan","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 4:20:30 em EET","11.00 / 15","21","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Väldigt detaljerade hårstrån som sticker ut, texturen på kläderna, halsbandet känns ""rimlig""","-- / 0","","Ja","1.00 / 1","","Kvinnans hår ser för smooth ut, samma med ansikten. oklar ljuskälla, konstig blur på konstiga ställen","-- / 0","","Ja","0.00 / 1","","vattnet fick mig att tro att den var ai för att den var så len och texturlös men det är inte ovanligt med vatten. ankan har mycket textur på pälsen? fjädrarna? mer detaljer än vad jag tror ai brukar ha","-- / 0","","Nej","1.00 / 1","","ser verklig ut? tror ai brukar se mer airbrushed ut","-- / 0","","Ja","1.00 / 1","","Där har vi air brush effekten jag skrev om på förra bilden! Pälsen har ingen textur","-- / 0","","Nej","1.00 / 1","","tvekar på att ai hade lyckats få vattnet att se rätt ut","-- / 0","","Nej","1.00 / 1","","bra textur och detaljer","-- / 0","","Ja","1.00 / 1","","jag är extremt osäker på den här men idk, mossan ser konstig ut men jag kanske övertänker det","-- / 0","","Nej","1.00 / 1","","ingen aning, det är mest bara en gissning","-- / 0","","Ja","0.00 / 1","","bakhjulet på cykeln ser ut att vara fel dimesnion/åt fel håll i jämförelse med resten av cykeln","-- / 0","","Ja","1.00 / 1","","ser väldigt glansig ut, mossan har en konstig textur","-- / 0","","Nej","1.00 / 1","","hade bilden varit ai genererad tror jag att bergen inte hade varit sammanhängande vilket de är här","-- / 0","","Ja","0.00 / 1","","Vet inte... det bara är något med bilden....","-- / 0","","Ja","1.00 / 1","","fingrar kan väl ändå inte böja sig så","-- / 0","","Ja","0.00 / 1","","är inte expert på hundanatomi så jag kanske är helt ute och cyklar men baktassarna ser skumma ut","-- / 0","","","-- / 0",""
"2024/03/17 4:26:44 em EET","13.00 / 15","20","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Inget som ser konstigt ut","-- / 0","","Ja","1.00 / 1","","Fingrar och muggen är konstig, håret är weird lol","-- / 0","","Nej","1.00 / 1","","Inte så bra när det gäller djur lol","-- / 0","","Nej","1.00 / 1","","Ser normal ut","-- / 0","","Ja","1.00 / 1","","Pälsen är för smooth","-- / 0","","Ja","0.00 / 1","","Blommorna har inga kvistar och ljusen hållarna är osymmetriska","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 4:28:02 em EET","13.00 / 15","20","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 4:33:17 em EET","13.00 / 15","19","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Alltför detaljerad, ser heller inte några uppenbara ""fel"" såsom 3 framtänder elr liknande. ","-- / 0","","Ja","1.00 / 1","","Speciellt kvinnans ansikte och hår ser inte äkta ut. Mannen fingrar ser också ganska konstiga ut. ","-- / 0","","Ja","0.00 / 1","","Denna är svår, ärligt talat vet jag inte skulle kunna vara båda alternativen. ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Något med kattens päls känns onaturligt. ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Fingrarna är för verkliga men någonting med ljuset får mig att tro att den är AI-genererad. Tror att den är riktig men inte helt säker, om den är AI-genererad är den galen. ","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 4:59:43 em EET","13.00 / 15","15","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","håret","-- / 0","","Ja","1.00 / 1","","smooth","-- / 0","","Nej","1.00 / 1","","håret","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","bloomor","-- / 0","","Nej","1.00 / 1","","detaljer","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","håret","-- / 0","","Ja","1.00 / 1","","handen ser platt ut","-- / 0","","Nej","1.00 / 1","","snön","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","smooth","-- / 0","","Ja","0.00 / 1","","buske","-- / 0","","","-- / 0",""
"2024/03/17 5:09:33 em EET","5.00 / 15","57","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","jag gissar","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","gissar igen men tycker fågeln ser väl skarp ut jämfört med vattnet. ","-- / 0","","Nej","1.00 / 1","","tycker den ser rimlig ut","-- / 0","","Nej","0.00 / 1","","sa som tidigare","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 5:11:26 em EET","7.00 / 15","48","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Den är för clean","-- / 0","","Nej","0.00 / 1","","Ser riktig ut","-- / 0","","Ja","0.00 / 1","","Ser för perfekt ut","-- / 0","","Nej","1.00 / 1","","Ser naturlig ut","-- / 0","","Nej","0.00 / 1","","Vet ej","-- / 0","","Ja","0.00 / 1","","Bara en känsla","-- / 0","","Ja","0.00 / 1","","Vet ej","-- / 0","","Nej","0.00 / 1","","Vet ej","-- / 0","","Ja","0.00 / 1","","Haha, detta är ju svårt..","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Vet inte ","-- / 0","","Nej","1.00 / 1","","Ser så naturlig ut","-- / 0","","Nej","1.00 / 1","","För naturlig ?","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Hade varit kul att få feedback vilka som är riktiga och inte.. ☺️","-- / 0",""
"2024/03/17 5:27:26 em EET","10.00 / 15","19","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Jag tror den är riktig för proportionerna och ljuskällorna är ganska realistiska","-- / 0","","Ja","1.00 / 1","","Bilden har en sorts suddig outline runt personerna, speciellt i ljuset, och ger viben av the uncanny valley. Plus, mannens hår ser väldigt fake ut och hans rynkor vid ögat är alldeles för stora och har för mörka skuggor","-- / 0","","Nej","1.00 / 1","","Jag är väldigt osäker med den här men fågeln har ingen suddig outline som AI bilder normalt har, speciellt djur. Jag är lite skeptisk med vattnet och hur den är formad på bilden men i stort ser det ut som något en fotograf kan ha tagit","-- / 0","","Ja","0.00 / 1","","Utifrån vad jag vet så har inte sådana träd så där mycket löv/barr(?) vid den längden och de växer vanligtvis heller inte runt såna stenar vid vattnet, utan på jordigare områden. De ser också ut som förminskade bilder av träden","-- / 0","","Ja","1.00 / 1","","Solljuset slår katten alldeles för perfekt och hela bilden ser för perfekt och för smooth för att vara verklig, plus en katt skulle inte ha så öppna ögon om solljuset är så där starkt ","-- / 0","","Nej","1.00 / 1","","Föremålen på bordet överensstämmer ganska bra med varandra och reflektionen i vasen ser också ut att stämma","-- / 0","","Nej","1.00 / 1","","Jag tror den här bilden är riktig för den har med små men realistiska detaljer som tagarna på löven och vad som ser ut att vara en liten knöl på nyckelpigans högra sida ","-- / 0","","Ja","1.00 / 1","","Vissa delar av bilden har en suddig outline, speciellt i ljuset och i vattnet ser man en reflektion av solen bakom träden på ungefär samma nivå som bilden togs men ingen sol syns bland träden","-- / 0","","Nej","1.00 / 1","","Det är en klar och tydlig bild med små detaljer som det orange/gula vid munnen och bågen på näbben","-- / 0","","Ja","0.00 / 1","","Ljuset och händerna ser ut att stämma med verklighet men jag skeptisk med proportionerna och generellt hur han står, bakhjulet på cykeln ser ut att antingen vara för stor eller så lyfts den upp på något sätt","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Bergen känns malplacerade och ska nog inte vara så små och tvekar jag att man skulle bygga en liten ""by"" så där högt och så där nära toppen om det inte har med skidor att göra. Jag kan tänka mig att det kan vara hotell, men då skulle det inte vara så där många hus","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Blomman ser gummi-aktig ut och fingrarna på handen ser onaturliga ut, plus vattendropparna skulle förmodligen rinna ner om man höll den i den vinkeln","-- / 0","","Ja","0.00 / 1","","Huvudet ser inte ut att passa kroppen och det är något konstigt med bakbenen","-- / 0","","","-- / 0",""
